Property ID,Date,Property Sales,Commissions Earned,Time-to-Sale (Days),Agent Performance (sales per Agent),Property Type,Region,Price Range,,,
1,10-16-2023,22,"5,88,628",69.00,1.00,Residential,Chennai,$300k - $500k,,,
2,6-2-2023,43,"9,95,041",47.00,9.00,Commercial,Delhi,$300k - $500k,,,
3,7-27-2020,25,"7,29,400",79.00,10.00,Residential,Pune,$300k - $500k,,,
4,2-12-2024,38,"5,73,323",109.00,2.00,Residential,Pune,$100k - $300k,,,
5,11-1-2022,8,"2,52,563",100.00,2.00,Residential,Bangalore,$500k - $700k,,,
6,2-23-2024,27,"4,90,950",112.00,4.00,Commercial,Delhi,$100k - $300k,,,
7,11-8-2020,32,"1,86,835",110.00,8.00,Commercial,Pune,$500k - $700k,,,
8,4-17-2022,47,"9,82,888",114.00,10.00,Residential,Mumbai,$100k - $300k,,,
9,6-29-2022,27,"2,53,666",95.00,3.00,Residential,Pune,Above $700k,,,
10,6-26-2023,15,"4,60,208",41.00,9.00,Commercial,Pune,Above $700k,,,
11,7-11-2024,22,"2,63,514",56.00,6.00,Residential,Delhi,Above $700k,,,
12,1-19-2020,18,"8,91,141",82.00,3.00,Residential,Chennai,Above $700k,,,
13,6-10-2022,16,"9,57,292",58.00,8.00,Residential,Mumbai,$100k - $300k,,,
14,4-18-2024,33,"9,04,662",93.00,2.00,Commercial,Chennai,Above $700k,,,
15,11-27-2021,9,"5,00,238",61.00,4.00,Residential,Bangalore,$500k - $700k,,,
16,1-15-2024,29,"3,66,525",113.00,9.00,Residential,Mumbai,$500k - $700k,,,
17,1-25-2022,5,"8,45,708",76.00,1.00,Commercial,Bangalore,$300k - $500k,,,
18,2-12-2023,31,"9,04,961",63.00,3.00,Residential,Pune,$500k - $700k,,,
19,4-20-2024,16,"6,92,384",55.00,1.00,Commercial,Bangalore,$500k - $700k,,,
20,1-24-2023,5,"6,81,112",117.00,6.00,Residential,Mumbai,$300k - $500k,,,
21,9-6-2023,33,"5,37,237",48.00,10.00,Residential,Chennai,$500k - $700k,,,
22,2-19-2023,6,"2,26,526",13.00,2.00,Residential,Mumbai,Above $700k,,,
23,1-11-2024,21,"4,37,721",110.00,3.00,Residential,Delhi,Above $700k,,,
24,11-30-2020,18,"6,63,262",20.00,6.00,Residential,Pune,$100k - $300k,,,
