Product Name,Date,Inventory Level,Orders Fulfilled,Total Revenue,Supplier Performance,Delivery Time (Days),Backorders,Order-to-Ship Cycle (Days)
Product A,2-25-2024,311,85,"2,611",1,2,25,2
Product B,2-26-2024,360,46,"1,143",4,6,12,5
Product C,2-27-2024,144,94,"1,227",4,6,27,4
Product C,2-28-2024,286,11,"2,345",2,6,46,2
Product D,2-29-2024,156,70,"1,927",5,3,23,3
Product E,3-1-2024,179,55,"2,184",2,1,24,1
Product F,3-2-2024,191,93,"2,173",1,3,7,2
Product G,3-3-2024,207,75,"4,591",1,7,47,5
Product H,3-4-2024,94,44,"4,724",5,4,39,4
Product I,3-5-2024,122,67,"4,041",1,5,20,1
